loss=0.0590, Monte Carlo price=0.1194, predicted=0.0067
loss=0.0009, Monte Carlo price=0.1239, predicted=0.1238
loss=0.0008, Monte Carlo price=0.1188, predicted=0.1220
loss=0.0008, Monte Carlo price=0.1202, predicted=0.1194
loss=0.0008, Monte Carlo price=0.1147, predicted=0.1187
loss=0.0008, Monte Carlo price=0.1165, predicted=0.1207
loss=0.0008, Monte Carlo price=0.1203, predicted=0.1210
loss=0.0008, Monte Carlo price=0.1234, predicted=0.1213
loss=0.0008, Monte Carlo price=0.1238, predicted=0.1216
loss=0.0008, Monte Carlo price=0.1208, predicted=0.1228
loss=0.0008, Monte Carlo price=0.1177, predicted=0.1249
loss=0.0008, Monte Carlo price=0.1162, predicted=0.1208
loss=0.0008, Monte Carlo price=0.1135, predicted=0.1196
loss=0.0008, Monte Carlo price=0.1194, predicted=0.1224
loss=0.0008, Monte Carlo price=0.1213, predicted=0.1230
loss=0.0008, Monte Carlo price=0.1199, predicted=0.1217
loss=0.0007, Monte Carlo price=0.1177, predicted=0.1164
loss=0.0007, Monte Carlo price=0.1226, predicted=0.1175
loss=0.0007, Monte Carlo price=0.1191, predicted=0.1219
loss=0.0007, Monte Carlo price=0.1181, predicted=0.1181
loss=0.0007, Monte Carlo price=0.1192, predicted=0.1204
loss=0.0008, Monte Carlo price=0.1242, predicted=0.1229
loss=0.0007, Monte Carlo price=0.1218, predicted=0.1214
loss=0.0007, Monte Carlo price=0.1247, predicted=0.1178
loss=0.0007, Monte Carlo price=0.1206, predicted=0.1208
loss=0.0007, Monte Carlo price=0.1187, predicted=0.1207
loss=0.0007, Monte Carlo price=0.1198, predicted=0.1207
loss=0.0007, Monte Carlo price=0.1209, predicted=0.1203
loss=0.0007, Monte Carlo price=0.1216, predicted=0.1198
loss=0.0007, Monte Carlo price=0.1166, predicted=0.1200
loss=0.0007, Monte Carlo price=0.1195, predicted=0.1218
loss=0.0007, Monte Carlo price=0.1220, predicted=0.1212
loss=0.0007, Monte Carlo price=0.1182, predicted=0.1180
loss=0.0007, Monte Carlo price=0.1194, predicted=0.1194
loss=0.0007, Monte Carlo price=0.1173, predicted=0.1215
loss=0.0007, Monte Carlo price=0.1185, predicted=0.1204
loss=0.0007, Monte Carlo price=0.1166, predicted=0.1186
loss=0.0007, Monte Carlo price=0.1188, predicted=0.1221
loss=0.0007, Monte Carlo price=0.1179, predicted=0.1246
loss=0.0007, Monte Carlo price=0.1198, predicted=0.1230
loss=0.0007, Monte Carlo price=0.1213, predicted=0.1175
loss=0.0007, Monte Carlo price=0.1190, predicted=0.1186
loss=0.0007, Monte Carlo price=0.1197, predicted=0.1212
loss=0.0007, Monte Carlo price=0.1207, predicted=0.1226
loss=0.0007, Monte Carlo price=0.1211, predicted=0.1219
loss=0.0007, Monte Carlo price=0.1237, predicted=0.1183
loss=0.0007, Monte Carlo price=0.1183, predicted=0.1224
loss=0.0007, Monte Carlo price=0.1178, predicted=0.1228
loss=0.0007, Monte Carlo price=0.1185, predicted=0.1216
loss=0.0007, Monte Carlo price=0.1184, predicted=0.1200
loss=0.0007, Monte Carlo price=0.1197, predicted=0.1221
loss=0.0006, Monte Carlo price=0.1179, predicted=0.1190
loss=0.0007, Monte Carlo price=0.1219, predicted=0.1245
loss=0.0007, Monte Carlo price=0.1235, predicted=0.1223
loss=0.0007, Monte Carlo price=0.1161, predicted=0.1223
loss=0.0007, Monte Carlo price=0.1207, predicted=0.1198
loss=0.0006, Monte Carlo price=0.1208, predicted=0.1181
loss=0.0007, Monte Carlo price=0.1180, predicted=0.1232
loss=0.0007, Monte Carlo price=0.1205, predicted=0.1217
loss=0.0007, Monte Carlo price=0.1230, predicted=0.1223
loss=0.0006, Monte Carlo price=0.1192, predicted=0.1207
loss=0.0007, Monte Carlo price=0.1191, predicted=0.1214
loss=0.0006, Monte Carlo price=0.1139, predicted=0.1207
loss=0.0007, Monte Carlo price=0.1186, predicted=0.1224
loss=0.0006, Monte Carlo price=0.1197, predicted=0.1211
loss=0.0006, Monte Carlo price=0.1186, predicted=0.1195
loss=0.0007, Monte Carlo price=0.1196, predicted=0.1223
loss=0.0006, Monte Carlo price=0.1225, predicted=0.1207
loss=0.0006, Monte Carlo price=0.1210, predicted=0.1209
loss=0.0006, Monte Carlo price=0.1230, predicted=0.1191
loss=0.0006, Monte Carlo price=0.1192, predicted=0.1211
loss=0.0006, Monte Carlo price=0.1216, predicted=0.1177
loss=0.0006, Monte Carlo price=0.1195, predicted=0.1213
loss=0.0006, Monte Carlo price=0.1206, predicted=0.1224
loss=0.0006, Monte Carlo price=0.1186, predicted=0.1183
loss=0.0007, Monte Carlo price=0.1179, predicted=0.1225
loss=0.0006, Monte Carlo price=0.1165, predicted=0.1189
loss=0.0006, Monte Carlo price=0.1211, predicted=0.1201
loss=0.0006, Monte Carlo price=0.1158, predicted=0.1216
loss=0.0007, Monte Carlo price=0.1210, predicted=0.1239
loss=0.0006, Monte Carlo price=0.1217, predicted=0.1182
loss=0.0006, Monte Carlo price=0.1208, predicted=0.1200
loss=0.0006, Monte Carlo price=0.1225, predicted=0.1200
loss=0.0006, Monte Carlo price=0.1158, predicted=0.1189
loss=0.0006, Monte Carlo price=0.1195, predicted=0.1213
loss=0.0006, Monte Carlo price=0.1192, predicted=0.1196
loss=0.0006, Monte Carlo price=0.1164, predicted=0.1230
loss=0.0006, Monte Carlo price=0.1169, predicted=0.1186
loss=0.0006, Monte Carlo price=0.1189, predicted=0.1200
loss=0.0006, Monte Carlo price=0.1206, predicted=0.1220
loss=0.0006, Monte Carlo price=0.1143, predicted=0.1202
loss=0.0006, Monte Carlo price=0.1258, predicted=0.1209
loss=0.0006, Monte Carlo price=0.1236, predicted=0.1203
loss=0.0006, Monte Carlo price=0.1214, predicted=0.1198
loss=0.0006, Monte Carlo price=0.1188, predicted=0.1222
loss=0.0006, Monte Carlo price=0.1198, predicted=0.1216
loss=0.0006, Monte Carlo price=0.1226, predicted=0.1198
loss=0.0006, Monte Carlo price=0.1184, predicted=0.1215
loss=0.0006, Monte Carlo price=0.1236, predicted=0.1201
loss=0.0007, Monte Carlo price=0.1205, predicted=0.1253
loss=0.0006, Monte Carlo price=0.1179, predicted=0.1178
loss=0.0006, Monte Carlo price=0.1233, predicted=0.1218
loss=0.0006, Monte Carlo price=0.1202, predicted=0.1208
loss=0.0006, Monte Carlo price=0.1226, predicted=0.1197
loss=0.0006, Monte Carlo price=0.1207, predicted=0.1225
loss=0.0006, Monte Carlo price=0.1194, predicted=0.1218
loss=0.0005, Monte Carlo price=0.1232, predicted=0.1187
loss=0.0007, Monte Carlo price=0.1170, predicted=0.1258
loss=0.0005, Monte Carlo price=0.1185, predicted=0.1148
loss=0.0007, Monte Carlo price=0.1166, predicted=0.1241
loss=0.0006, Monte Carlo price=0.1202, predicted=0.1182
loss=0.0007, Monte Carlo price=0.1226, predicted=0.1263
loss=0.0005, Monte Carlo price=0.1182, predicted=0.1187
loss=0.0006, Monte Carlo price=0.1177, predicted=0.1227
loss=0.0006, Monte Carlo price=0.1197, predicted=0.1226
loss=0.0006, Monte Carlo price=0.1173, predicted=0.1210
loss=0.0006, Monte Carlo price=0.1187, predicted=0.1231
loss=0.0006, Monte Carlo price=0.1208, predicted=0.1191
loss=0.0006, Monte Carlo price=0.1161, predicted=0.1206
loss=0.0006, Monte Carlo price=0.1160, predicted=0.1192
loss=0.0006, Monte Carlo price=0.1183, predicted=0.1223
loss=0.0006, Monte Carlo price=0.1140, predicted=0.1200
loss=0.0006, Monte Carlo price=0.1192, predicted=0.1220
loss=0.0005, Monte Carlo price=0.1153, predicted=0.1197
loss=0.0005, Monte Carlo price=0.1185, predicted=0.1177
loss=0.0006, Monte Carlo price=0.1213, predicted=0.1224
loss=0.0005, Monte Carlo price=0.1158, predicted=0.1192
loss=0.0006, Monte Carlo price=0.1222, predicted=0.1210
loss=0.0006, Monte Carlo price=0.1212, predicted=0.1205
loss=0.0005, Monte Carlo price=0.1195, predicted=0.1170
loss=0.0006, Monte Carlo price=0.1183, predicted=0.1233
loss=0.0006, Monte Carlo price=0.1186, predicted=0.1196
loss=0.0006, Monte Carlo price=0.1215, predicted=0.1215
loss=0.0006, Monte Carlo price=0.1238, predicted=0.1207
loss=0.0005, Monte Carlo price=0.1149, predicted=0.1187
loss=0.0006, Monte Carlo price=0.1194, predicted=0.1228
loss=0.0005, Monte Carlo price=0.1255, predicted=0.1205
loss=0.0006, Monte Carlo price=0.1157, predicted=0.1240
loss=0.0005, Monte Carlo price=0.1179, predicted=0.1178
loss=0.0006, Monte Carlo price=0.1212, predicted=0.1238
loss=0.0006, Monte Carlo price=0.1211, predicted=0.1215
loss=0.0005, Monte Carlo price=0.1219, predicted=0.1194
loss=0.0005, Monte Carlo price=0.1200, predicted=0.1200
loss=0.0006, Monte Carlo price=0.1165, predicted=0.1226
loss=0.0005, Monte Carlo price=0.1176, predicted=0.1203
loss=0.0005, Monte Carlo price=0.1217, predicted=0.1206
